cement;blast_furnace_slag;fly_ash;water;superplasticizer;coarse_aggregate;fine_aggregate;age;concrete_compressive_trength
173.0;116.0;0.0;192.0;0.0;946.8;856.8;7;11.39 
200.0;133.0;0.0;192.0;0.0;965.4;806.2;3;11.41 
382.0;0.0;0.0;186.0;0.0;1111.0;784.0;7;11.47 
252.0;0.0;0.0;186.0;0.0;1111.0;784.0;7;11.47 
252.5;0.0;0.0;185.7;0.0;1111.6;784.3;7;11.48 
222.4;0.0;96.7;189.3;4.5;967.1;870.3;3;11.58 
289.0;0.0;0.0;192.0;0.0;913.2;895.3;3;11.65 
310.0;0.0;0.0;192.0;0.0;1012.0;830.0;3;11.85 
203.5;135.7;0.0;185.7;0.0;1076.2;759.3;7;11.96 
251.4;0.0;118.3;192.9;5.8;1043.6;754.3;3;11.98 
238.0;0.0;0.0;186.0;0.0;1119.0;789.0;7;12.05 
194.7;0.0;100.5;170.2;7.5;998.0;901.8;3;12.18 
152.0;0.0;112.0;184.0;8.0;992.0;816.0;28;12.18 
151.6;0.0;111.9;184.4;7.9;992.0;815.9;28;12.18 
200.0;0.0;0.0;180.0;0.0;1125.0;845.0;28;12.25 
181.9;272.8;0.0;185.7;0.0;1012.4;714.3;7;12.37 
194.7;0.0;100.5;165.6;7.5;1006.4;905.9;3;12.45 
155.0;0.0;143.0;193.0;9.0;1047.0;697.0;28;12.46 
154.8;0.0;142.8;193.3;9.1;1047.4;696.7;28;12.46 
212.1;0.0;121.6;180.3;5.7;1057.6;779.3;3;12.47 
307.0;0.0;0.0;193.0;0.0;968.0;812.0;3;12.54 
190.3;0.0;125.2;166.6;9.9;1079.0;798.9;3;12.55 
500.0;0.0;0.0;200.0;0.0;1125.0;613.0;1;12.64 
250.0;0.0;0.0;182.0;0.0;1100.0;820.0;7;12.73 
192.0;288.0;0.0;192.0;0.0;929.8;716.1;3;12.79 
236.0;0.0;0.0;194.0;0.0;968.0;885.0;14;12.84 
220.8;147.2;0.0;185.7;0.0;1055.0;744.3;7;13.09 
251.4;0.0;118.3;188.5;6.4;1028.4;757.7;3;13.12 
213.8;98.1;24.5;181.7;6.7;1066.0;785.5;3;13.18 
145.0;0.0;134.0;181.0;11.0;979.0;812.0;28;13.20 
144.8;0.0;133.6;180.8;11.1;979.5;811.5;28;13.20 
339.0;0.0;0.0;197.0;0.0;968.0;781.0;3;13.22 
135.0;0.0;166.0;180.0;10.0;961.0;805.0;28;13.29 
134.7;0.0;165.7;180.2;10.0;961.0;804.9;28;13.29 
212.6;0.0;100.4;159.4;10.4;1003.8;903.8;3;13.33 
229.7;0.0;118.2;195.2;6.1;1028.1;757.6;3;13.36 
284.0;15.0;141.0;179.0;5.5;842.0;801.0;3;13.40 
151.0;0.0;185.0;167.0;16.0;1074.0;678.0;28;13.46 
150.7;0.0;185.3;166.7;15.6;1074.5;678.0;28;13.46 
331.0;0.0;0.0;192.0;0.0;978.0;825.0;3;13.52 
331.0;0.0;0.0;192.0;0.0;879.0;825.0;3;13.52 
212.5;0.0;100.4;159.3;8.7;1007.8;903.6;3;13.54 
236.0;157.0;0.0;192.0;0.0;972.6;749.1;3;13.57 
181.4;0.0;167.0;169.6;7.6;1055.6;777.8;3;13.62 
133.0;200.0;0.0;192.0;0.0;927.4;839.2;7;13.66 
252.0;0.0;0.0;185.0;0.0;1111.0;784.0;7;13.71 
250.0;0.0;95.7;187.4;5.5;956.9;861.2;3;13.82 
305.3;203.5;0.0;203.5;0.0;965.4;631.0;3;14.14 
275.0;0.0;0.0;183.0;0.0;1088.0;808.0;7;14.20 
296.0;0.0;0.0;192.0;0.0;1085.0;765.0;7;14.20 
331.0;0.0;0.0;192.0;0.0;1025.0;821.0;3;14.31 
165.0;0.0;143.6;163.8;0.0;1005.6;900.9;3;14.40 
281.0;0.0;0.0;186.0;0.0;1104.0;774.0;7;14.50 
381.4;0.0;0.0;185.7;0.0;1104.6;784.3;7;14.54 
139.6;209.4;0.0;192.0;0.0;1047.0;806.9;7;14.59 
289.0;0.0;0.0;192.0;0.0;913.2;895.3;7;14.60 
198.6;132.4;0.0;192.0;0.0;978.4;825.5;7;14.64 
385.0;0.0;0.0;186.0;0.0;966.0;763.0;3;14.70 
295.0;0.0;0.0;185.0;0.0;1069.0;769.0;7;14.80 
295.8;0.0;0.0;185.7;0.0;1091.4;769.3;7;14.84 
167.4;129.9;128.6;175.5;7.8;1006.3;746.6;3;14.94 
349.0;0.0;0.0;192.0;0.0;1047.0;806.0;3;14.99 
310.0;0.0;0.0;192.0;0.0;970.0;850.0;7;14.99 
212.0;141.3;0.0;203.5;0.0;973.4;750.0;7;15.03 
190.7;0.0;125.4;162.1;7.8;1090.0;804.0;3;15.04 
349.0;0.0;0.0;192.0;0.0;1047.0;806.9;3;15.05 
202.0;11.0;141.0;206.0;1.7;942.0;801.0;7;15.07 
164.0;0.0;200.0;181.0;13.0;849.0;846.0;28;15.09 
164.2;0.0;200.1;181.2;12.6;849.3;846.0;28;15.09 
218.9;0.0;124.1;158.5;11.3;1078.7;794.9;3;15.34 
144.0;15.0;195.0;176.0;6.0;1021.0;709.0;28;15.34 
249.1;0.0;98.8;158.1;12.8;987.8;889.0;3;15.36 
144.0;0.0;175.0;158.0;18.0;943.0;844.0;28;15.42 
143.6;0.0;174.9;158.4;17.9;942.7;844.5;28;15.42 
231.8;0.0;121.6;174.0;6.7;1056.4;778.5;3;15.44 
167.0;75.4;167.0;164.0;7.9;1007.3;770.1;3;15.52 
148.0;0.0;182.0;181.0;15.0;839.0;884.0;28;15.52 
148.1;0.0;182.1;181.4;15.0;838.9;884.3;28;15.53 
151.0;0.0;184.0;167.0;12.0;991.0;772.0;28;15.57 
150.9;0.0;183.9;166.6;11.6;991.2;772.2;28;15.57 
300.0;0.0;0.0;184.0;0.0;1075.0;795.0;7;15.58 
213.5;0.0;174.2;159.2;11.7;1043.6;771.9;3;15.61 
333.0;0.0;0.0;192.0;0.0;931.2;842.6;3;15.62 
238.2;158.8;0.0;185.7;0.0;1040.6;734.3;7;15.69 
166.8;250.2;0.0;203.5;0.0;975.6;692.6;7;15.75 
173.8;93.4;159.9;172.3;9.7;1007.2;746.6;3;15.82 
349.0;0.0;0.0;192.0;0.0;1056.0;809.0;3;15.87 
288.0;192.0;0.0;192.0;0.0;932.0;717.8;3;16.11 
331.0;0.0;0.0;192.0;0.0;978.0;825.0;7;16.26 
376.0;0.0;0.0;214.6;0.0;1003.5;762.4;3;16.28 
154.0;144.0;112.0;220.0;10.0;923.0;658.0;28;16.50 
153.6;144.2;112.3;220.1;10.1;923.2;657.9;28;16.50 
165.0;0.0;143.6;163.8;0.0;1005.6;900.9;14;16.88 
157.0;236.0;0.0;192.0;0.0;935.4;781.2;7;16.89 
200.0;133.0;0.0;192.0;0.0;965.4;806.2;7;17.17 
193.5;290.2;0.0;185.7;0.0;998.2;704.3;7;17.20 
251.4;0.0;118.3;188.5;5.8;1028.4;757.7;3;17.22 
255.5;170.3;0.0;185.7;0.0;1026.6;724.3;7;17.24 
310.0;0.0;0.0;192.0;0.0;1012.0;830.0;7;17.24 
102.0;153.0;0.0;192.0;0.0;887.0;942.0;28;17.28 
225.0;0.0;0.0;181.0;0.0;1113.0;833.0;28;17.34 
213.5;0.0;174.2;154.6;11.7;1052.3;775.5;3;17.37 
331.0;0.0;0.0;192.0;0.0;1025.0;821.0;7;17.44 
325.0;0.0;0.0;184.0;0.0;1063.0;783.0;7;17.54 
238.0;0.0;0.0;186.0;0.0;1119.0;789.0;28;17.54 
238.0;0.0;0.0;185.0;0.0;1118.0;789.0;28;17.54 
213.7;0.0;174.7;154.8;10.2;1053.5;776.4;3;17.57 
238.1;0.0;0.0;185.7;0.0;1118.8;789.3;28;17.58 
186.2;124.1;0.0;185.7;0.0;1083.4;764.3;28;17.60 
168.0;42.1;163.8;121.8;5.7;1058.7;780.1;14;17.82 
213.8;98.1;24.5;181.7;6.7;1066.0;785.5;14;17.84 
148.0;0.0;137.0;158.0;16.0;1002.0;830.0;28;17.95 
148.1;0.0;136.6;158.1;16.1;1001.8;830.1;28;17.96 
153.0;102.0;0.0;192.0;0.0;888.0;943.1;28;17.96 
213.7;98.1;24.5;181.7;6.9;1065.8;785.4;3;18.00 
214.9;53.8;121.9;155.6;9.6;1014.3;780.6;3;18.02 
165.0;0.0;150.0;182.0;12.0;1023.0;729.0;28;18.03 
164.6;0.0;150.4;181.6;11.7;1023.3;728.9;28;18.03 
350.0;0.0;0.0;203.0;0.0;974.0;775.0;7;18.13 
349.0;0.0;0.0;192.0;0.0;1047.0;806.0;7;18.13 
302.0;0.0;0.0;203.0;0.0;974.0;817.0;14;18.13 
135.7;203.5;0.0;185.7;0.0;1076.2;759.3;28;18.20 
155.0;183.0;0.0;193.0;9.0;1047.0;697.0;28;18.28 
154.8;183.4;0.0;193.3;9.1;1047.4;696.7;28;18.29 
236.0;0.0;0.0;194.0;0.0;968.0;885.0;28;18.42 
255.0;0.0;0.0;192.0;0.0;889.8;945.0;28;18.75 
296.0;0.0;0.0;186.0;0.0;1090.0;769.0;7;18.91 
153.0;145.0;0.0;178.0;8.0;1000.0;822.0;28;19.01 
152.7;144.7;0.0;178.1;8.0;999.7;822.2;28;19.01 
393.0;0.0;0.0;192.0;0.0;940.0;758.0;3;19.11 
393.0;0.0;0.0;192.0;0.0;940.6;785.6;3;19.20 
250.2;166.8;0.0;203.5;0.0;977.6;694.1;7;19.35 
165.0;128.5;132.1;175.1;8.1;1005.8;746.6;3;19.42 
190.3;0.0;125.2;166.6;9.9;1079.0;798.9;14;19.42 
212.0;0.0;124.8;159.0;7.8;1085.4;799.5;3;19.52 
203.5;305.3;0.0;203.5;0.0;963.4;630.0;7;19.54 
252.0;0.0;0.0;185.0;0.0;1111.0;784.0;28;19.69 
252.0;0.0;0.0;185.0;0.0;1111.0;784.0;28;19.69 
272.8;181.9;0.0;185.7;0.0;1012.4;714.3;7;19.77 
252.5;0.0;0.0;185.7;0.0;1111.6;784.3;28;19.77 
238.1;0.0;94.1;186.7;7.0;949.9;847.0;3;19.93 
147.0;115.0;89.0;202.0;9.0;860.0;829.0;28;19.99 
146.5;114.6;89.3;201.9;8.8;860.0;829.5;28;19.99 
230.0;0.0;118.3;195.5;4.6;1029.4;758.6;14;20.08 
350.0;0.0;0.0;186.0;0.0;1050.0;770.0;7;20.28 
236.0;157.0;0.0;192.0;0.0;972.6;749.1;7;20.42 
108.3;162.4;0.0;203.5;0.0;938.2;849.0;28;20.59 
178.0;129.8;118.6;179.9;3.6;1007.3;746.8;3;20.73 
251.4;0.0;118.3;192.9;5.8;1043.6;754.3;14;20.73 
322.0;0.0;0.0;203.0;0.0;974.0;800.0;14;20.77 
250.0;0.0;0.0;182.0;0.0;1100.0;820.0;28;20.87 
212.1;0.0;121.6;180.3;5.7;1057.6;779.3;14;20.92 
339.0;0.0;0.0;197.0;0.0;968.0;781.0;7;20.97 
251.8;0.0;99.9;146.1;12.4;1006.0;899.8;3;21.02 
190.7;0.0;125.4;162.1;7.8;1090.0;804.0;14;21.06 
158.8;238.2;0.0;185.7;0.0;1040.6;734.3;28;21.07 
339.0;0.0;0.0;185.0;0.0;1069.0;754.0;7;21.16 
339.2;0.0;0.0;185.7;0.0;1069.2;754.3;7;21.18 
277.0;0.0;0.0;191.0;0.0;968.0;856.0;14;21.26 
172.4;13.6;172.4;156.8;4.1;1006.3;856.4;3;21.29 
192.0;288.0;0.0;192.0;0.0;929.8;716.1;7;21.48 
182.0;45.2;122.0;170.2;8.2;1059.4;780.7;14;21.50 
166.1;0.0;163.3;176.5;4.5;1058.6;780.1;28;21.54 
181.4;0.0;167.0;169.6;7.6;1055.6;777.8;14;21.60 
296.0;0.0;0.0;192.0;0.0;1085.0;765.0;28;21.65 
302.0;0.0;0.0;203.0;0.0;974.0;817.0;28;21.75 
252.3;0.0;98.8;146.3;14.2;987.8;889.0;3;21.78 
210.7;316.1;0.0;185.7;0.0;977.0;689.3;7;21.82 
290.2;193.5;0.0;185.7;0.0;998.2;704.3;7;21.86 
297.2;0.0;117.5;174.8;9.5;1022.8;753.5;3;21.91 
135.0;105.0;193.0;196.0;6.0;965.0;643.0;28;21.91 
228.0;342.1;0.0;185.7;0.0;955.8;674.3;7;21.92 
202.0;11.0;141.0;206.0;1.7;942.0;801.0;28;21.97 
233.8;0.0;94.6;197.9;4.6;947.0;852.2;14;22.14 
229.7;0.0;118.2;195.2;6.1;1028.1;757.6;14;22.32 
116.0;173.0;0.0;192.0;0.0;909.8;891.9;28;22.35 
281.0;0.0;0.0;185.0;0.0;1104.0;774.0;28;22.44 
281.0;0.0;0.0;186.0;0.0;1104.0;774.0;28;22.44 
381.4;0.0;0.0;185.7;0.0;1104.6;784.3;28;22.49 
290.4;0.0;96.2;168.1;9.4;961.2;865.0;3;22.50 
350.0;0.0;0.0;203.0;0.0;974.0;775.0;14;22.53 
203.5;135.7;0.0;185.7;0.0;1076.2;759.3;28;22.63 
190.3;0.0;125.2;161.9;9.9;1088.1;802.6;14;22.72 
387.0;20.0;94.0;157.0;14.3;938.0;845.0;3;22.75 
233.8;0.0;94.6;197.9;4.6;947.0;852.2;28;22.84 
362.6;189.0;0.0;164.9;11.6;944.7;755.8;7;22.90 
184.0;86.0;190.0;213.0;6.0;923.0;623.0;28;22.93 
295.7;0.0;95.6;171.5;8.9;955.1;859.2;3;22.95 
173.5;50.1;173.5;164.8;6.5;1006.2;793.5;3;23.08 
277.1;0.0;97.4;160.6;11.8;973.9;875.6;3;23.14 
385.0;0.0;0.0;186.0;0.0;966.0;763.0;7;23.22 
446.0;24.0;79.0;162.0;11.6;967.0;712.0;3;23.35 
333.0;0.0;0.0;192.0;0.0;931.2;842.6;7;23.40 
168.9;42.2;124.3;158.3;10.8;1080.8;796.2;14;23.51 
149.0;118.0;92.0;183.0;7.0;953.0;780.0;28;23.52 
288.0;192.0;0.0;192.0;0.0;932.0;717.8;7;23.52 
149.0;117.6;91.7;182.9;7.1;953.4;780.3;28;23.52 
246.8;0.0;125.1;143.3;12.0;1086.8;800.9;3;23.52 
359.0;19.0;141.0;154.0;10.9;942.0;801.0;3;23.64 
149.0;139.0;109.0;193.0;6.0;892.0;780.0;28;23.69 
148.5;139.4;108.6;192.7;6.1;892.4;780.0;28;23.70 
146.0;173.0;0.0;182.0;3.0;986.0;817.0;28;23.74 
145.7;172.6;0.0;181.9;3.4;985.8;816.8;28;23.74 
155.0;183.0;0.0;193.0;9.0;877.0;868.0;28;23.79 
154.8;183.4;0.0;193.3;9.1;877.2;867.7;28;23.79 
275.1;0.0;121.4;159.5;9.9;1053.6;777.5;3;23.80 
300.0;0.0;120.0;212.0;10.0;878.0;728.0;28;23.84 
299.8;0.0;119.8;211.5;9.9;878.2;727.6;28;23.84 
436.0;0.0;0.0;218.0;0.0;838.4;719.7;28;23.85 
167.0;187.0;195.0;185.0;7.0;898.0;636.0;28;23.89 
382.0;0.0;0.0;186.0;0.0;1047.0;739.0;7;24.00 
382.0;0.0;0.0;185.0;0.0;1047.0;739.0;7;24.00 
183.9;122.6;0.0;203.5;0.0;959.2;800.0;28;24.05 
382.5;0.0;0.0;185.7;0.0;1047.8;739.3;7;24.07 
337.9;189.0;0.0;174.9;9.5;944.7;755.8;3;24.10 
284.0;15.0;141.0;179.0;5.5;842.0;801.0;7;24.13 
168.0;42.1;163.8;121.8;5.7;1058.7;780.1;28;24.24 
173.0;116.0;0.0;192.0;0.0;946.8;856.8;28;24.28 
194.7;0.0;100.5;170.2;7.5;998.0;901.8;14;24.28 
122.6;183.9;0.0;203.5;0.0;958.2;800.1;28;24.29 
154.0;174.0;185.0;228.0;7.0;845.0;612.0;28;24.34 
480.0;0.0;0.0;192.0;0.0;936.0;721.0;3;24.39 
286.3;200.9;0.0;144.7;11.2;1004.6;803.7;3;24.40 
480.0;0.0;0.0;192.0;0.0;936.2;712.2;3;24.40 
251.4;0.0;118.3;188.5;6.4;1028.4;757.7;14;24.43 
316.1;210.7;0.0;185.7;0.0;977.0;689.3;7;24.44 
222.4;0.0;96.7;189.3;4.5;967.1;870.3;14;24.45 
230.0;0.0;118.3;195.5;4.6;1029.4;758.6;28;24.48 
275.0;0.0;0.0;183.0;0.0;1088.0;808.0;28;24.50 
229.7;0.0;118.2;195.2;6.1;1028.1;757.6;28;24.54 
149.0;153.0;194.0;192.0;8.0;935.0;623.0;28;24.58 
250.0;0.0;95.7;191.8;5.3;948.9;857.2;14;24.66 
190.3;0.0;125.2;166.6;9.9;1079.0;798.9;28;24.85 
222.4;0.0;96.7;189.3;4.5;967.1;870.3;28;24.89 
212.1;0.0;121.6;180.3;5.7;1057.6;779.3;28;24.90 
250.0;0.0;95.7;187.4;5.5;956.9;861.2;14;24.92 
194.7;0.0;100.5;165.6;7.5;1006.4;905.9;14;24.99 
446.0;24.0;79.0;162.0;11.6;967.0;712.0;3;25.02 
313.0;0.0;0.0;178.0;8.0;1000.0;822.0;28;25.10 
312.7;0.0;0.0;178.1;8.0;999.7;822.2;28;25.10 
359.0;19.0;141.0;154.0;10.9;942.0;801.0;3;25.12 
296.0;0.0;0.0;186.0;0.0;1090.0;769.0;28;25.18 
295.0;0.0;0.0;185.0;0.0;1069.0;769.0;28;25.18 
322.0;0.0;0.0;203.0;0.0;974.0;800.0;28;25.18 
318.8;212.5;0.0;155.7;14.3;852.1;880.4;3;25.20 
295.8;0.0;0.0;185.7;0.0;1091.4;769.3;28;25.22 
212.6;0.0;100.4;159.4;10.4;1003.8;903.8;14;25.37 
239.6;359.4;0.0;185.7;0.0;941.6;664.3;7;25.42 
397.0;0.0;0.0;185.7;0.0;1040.6;734.3;7;25.45 
166.1;0.0;163.3;176.5;4.5;1058.6;780.1;14;25.48 
387.0;20.0;94.0;157.0;13.9;938.0;845.0;3;25.51 
153.0;145.0;113.0;178.0;8.0;1002.0;689.0;28;25.56 
153.1;145.0;113.0;178.5;8.0;1001.9;688.7;28;25.56 
289.0;0.0;0.0;192.0;0.0;913.2;895.3;28;25.57 
491.0;26.0;123.0;210.0;3.9;882.0;699.0;3;25.61 
376.0;0.0;0.0;214.6;0.0;1003.5;762.4;14;25.62 
238.1;0.0;94.1;186.7;7.0;949.9;847.0;14;25.69 
194.7;0.0;100.5;165.6;7.5;1006.4;905.9;28;25.72 
170.3;155.5;0.0;185.7;0.0;1026.6;724.3;28;25.73 
220.8;147.2;0.0;185.7;0.0;1055.0;744.3;28;25.75 
305.3;203.5;0.0;203.5;0.0;965.4;631.0;7;25.89 
277.0;0.0;0.0;191.0;0.0;968.0;856.0;28;25.97 
218.9;0.0;124.1;158.5;11.3;1078.7;794.9;14;26.05 
500.0;0.0;0.0;200.0;0.0;1125.0;613.0;3;26.06 
375.0;0.0;0.0;186.0;0.0;1038.0;758.0;7;26.06 
144.0;136.0;106.0;178.0;7.0;941.0;774.0;28;26.14 
143.8;136.3;106.2;178.1;7.5;941.5;774.3;28;26.15 
165.0;0.0;143.6;163.8;0.0;1005.6;900.9;28;26.20 
153.0;145.0;113.0;178.0;8.0;867.0;824.0;28;26.23 
153.1;145.0;113.0;178.5;8.0;867.2;824.0;28;26.23 
237.5;237.5;0.0;228.0;0.0;932.0;594.0;7;26.26 
212.5;0.0;100.4;159.3;8.7;1007.8;903.6;14;26.31 
190.7;0.0;125.4;162.1;7.8;1090.0;804.0;28;26.40 
231.8;0.0;121.6;174.0;6.7;1056.4;778.5;14;26.77 
300.0;0.0;0.0;184.0;0.0;1075.0;795.0;28;26.85 
153.0;239.0;0.0;200.0;6.0;1002.0;684.0;28;26.86 
152.6;238.7;0.0;200.0;6.3;1001.8;683.9;28;26.86 
238.2;158.8;0.0;185.7;0.0;1040.6;734.3;28;26.91 
148.0;175.0;0.0;171.0;2.0;1000.0;828.0;28;26.92 
147.8;175.1;0.0;171.2;2.2;1000.0;828.5;28;26.92 
136.0;196.0;98.0;199.0;6.0;847.0;783.0;28;26.97 
339.0;0.0;0.0;197.0;0.0;968.0;781.0;14;27.04 
250.0;0.0;95.7;191.8;5.3;948.9;857.2;28;27.22 
164.0;163.0;128.0;197.0;8.0;961.0;641.0;28;27.23 
350.0;0.0;0.0;203.0;0.0;974.0;775.0;28;27.34 
218.2;54.6;123.8;140.8;11.9;1075.7;792.7;3;27.42 
307.0;0.0;0.0;193.0;0.0;968.0;812.0;28;27.53 
159.0;149.0;116.0;175.0;15.0;953.0;720.0;28;27.68 
158.6;148.9;116.0;175.1;15.0;953.3;719.7;28;27.68 
393.0;0.0;0.0;192.0;0.0;940.6;785.6;7;27.74 
181.4;0.0;167.0;169.6;7.6;1055.6;777.8;28;27.77 
310.0;0.0;0.0;192.0;0.0;1012.0;830.0;28;27.83 
133.0;200.0;0.0;192.0;0.0;927.4;839.2;28;27.87 
385.0;0.0;0.0;186.0;0.0;966.0;763.0;14;27.92 
310.0;0.0;0.0;192.0;0.0;970.0;850.0;28;27.92 
181.9;272.8;0.0;185.7;0.0;1012.4;714.3;28;27.94 
198.6;132.4;0.0;192.0;0.0;978.4;825.5;28;28.02 
388.6;97.1;0.0;157.9;12.1;852.1;925.7;3;28.10 
139.6;209.4;0.0;192.0;0.0;1047.0;806.9;28;28.24 
323.7;282.8;0.0;183.8;10.3;942.7;659.9;3;28.30 
190.3;0.0;125.2;161.9;9.9;1088.1;802.6;28;28.47 
379.5;151.2;0.0;153.9;15.9;1134.3;605.0;3;28.60 
237.0;92.0;71.0;247.0;6.0;853.0;695.0;28;28.63 
236.9;91.7;71.5;246.9;6.0;852.9;695.4;28;28.63 
249.1;0.0;98.8;158.1;12.8;987.8;889.0;14;28.68 
313.3;262.2;0.0;175.5;8.6;1046.9;611.8;3;28.80 
133.1;210.2;0.0;195.7;3.1;949.4;795.3;28;28.94 
155.0;184.0;143.0;194.0;9.0;880.0;699.0;28;28.99 
155.2;183.9;143.2;193.8;9.2;879.6;698.5;28;28.99 
375.0;93.8;0.0;126.6;23.4;852.1;992.6;3;29.00 
136.0;162.0;126.0;172.0;10.0;923.0;764.0;28;29.07 
136.4;161.6;125.8;171.6;10.4;922.6;764.4;28;29.07 
145.0;116.0;119.0;184.0;5.7;833.0;880.0;28;29.16 
250.0;0.0;95.7;187.4;5.5;956.9;861.2;28;29.22 
156.0;178.0;187.0;221.0;7.0;854.0;614.0;28;29.41 
491.0;26.0;123.0;201.0;3.9;822.0;699.0;3;29.55 
173.8;93.4;159.9;172.3;9.7;1007.2;746.6;14;29.55 
213.5;0.0;174.2;159.2;11.7;1043.6;771.9;14;29.59 
251.4;0.0;118.3;188.5;5.8;1028.4;757.7;28;29.65 
143.0;169.0;143.0;191.0;8.0;967.0;643.0;28;29.72 
143.0;169.4;142.7;190.7;8.4;967.4;643.5;28;29.73 
172.4;13.6;172.4;156.8;4.1;1006.3;856.4;14;29.75 
144.0;170.0;133.0;192.0;8.0;814.0;805.0;28;29.87 
143.7;170.2;132.6;191.6;8.5;814.1;805.3;28;29.87 
141.3;212.0;0.0;203.5;0.0;971.8;748.5;28;29.89 
251.4;0.0;118.3;188.5;5.8;1028.4;757.7;14;29.93 
237.5;237.5;0.0;228.0;0.0;932.0;594.0;28;30.08 
305.0;0.0;100.0;196.0;10.0;959.0;705.0;28;30.12 
304.8;0.0;99.6;196.0;9.8;959.4;705.2;28;30.12 
400.0;0.0;0.0;187.0;0.0;1025.0;745.0;7;30.14 
218.9;0.0;124.1;158.5;11.3;1078.7;794.9;28;30.22 
238.1;0.0;94.1;186.7;7.0;949.9;847.0;28;30.23 
332.5;142.5;0.0;228.0;0.0;932.0;594.0;7;30.28 
213.7;98.1;24.5;181.7;6.9;1065.8;785.4;14;30.39 
200.0;133.0;0.0;192.0;0.0;965.4;806.2;28;30.44 
277.2;97.8;24.5;160.7;11.2;1061.7;782.5;3;30.45 
325.0;0.0;0.0;184.0;0.0;1063.0;783.0;28;30.57 
